model,category,win_rate,appearances
gpt-3.5-turbo,coding,0.70625,160
claude-v1,coding,0.6923076923076923,117
gpt-4,coding,0.6705426356589147,129
vicuna-13b-v1.2,coding,0.5074626865671642,134
alpaca-13b,coding,0.324468085106383,94
llama-13b,coding,0.1125,160
gpt-4,extraction,0.7520661157024794,121
gpt-3.5-turbo,extraction,0.706989247311828,186
claude-v1,extraction,0.6830357142857143,112
vicuna-13b-v1.2,extraction,0.35251798561151076,139
alpaca-13b,extraction,0.28846153846153844,130
llama-13b,extraction,0.14224137931034483,116
gpt-4,humanities,0.8104838709677419,124
claude-v1,humanities,0.6598639455782312,147
gpt-3.5-turbo,humanities,0.6450777202072538,193
vicuna-13b-v1.2,humanities,0.5562913907284768,151
alpaca-13b,humanities,0.22340425531914893,141
llama-13b,humanities,0.09797297297297297,148
gpt-4,math,0.7637795275590551,127
gpt-3.5-turbo,math,0.7527472527472527,182
claude-v1,math,0.5398230088495575,113
vicuna-13b-v1.2,math,0.41796875,128
llama-13b,math,0.24125874125874125,143
alpaca-13b,math,0.22137404580152673,131
gpt-4,reasoning,0.6804511278195489,133
claude-v1,reasoning,0.625,128
gpt-3.5-turbo,reasoning,0.5447761194029851,201
vicuna-13b-v1.2,reasoning,0.47761194029850745,134
alpaca-13b,reasoning,0.3897058823529412,136
llama-13b,reasoning,0.27205882352941174,136
gpt-4,roleplay,0.6851851851851852,135
gpt-3.5-turbo,roleplay,0.6622222222222223,225
claude-v1,roleplay,0.6258278145695364,151
vicuna-13b-v1.2,roleplay,0.45222929936305734,157
alpaca-13b,roleplay,0.3007246376811594,138
llama-13b,roleplay,0.12704918032786885,122
gpt-4,stem,0.8205128205128205,156
claude-v1,stem,0.7184873949579832,119
gpt-3.5-turbo,stem,0.5736196319018405,163
vicuna-13b-v1.2,stem,0.553030303030303,132
alpaca-13b,stem,0.22844827586206898,116
llama-13b,stem,0.06506849315068493,146
claude-v1,writing,0.6605504587155964,109
gpt-4,writing,0.6538461538461539,104
gpt-3.5-turbo,writing,0.6279761904761905,168
vicuna-13b-v1.2,writing,0.5229007633587787,131
alpaca-13b,writing,0.32196969696969696,132
llama-13b,writing,0.19196428571428573,112
